X1_NR_COMENZI,X2_VALOARE_TOTALA_MDL,Y_VALOARE_MEDIE_COMANDA_MDL
4,1151.00,287.75
4,2653.86,663.47
4,2034.26,508.57
4,823.62,205.91
4,2706.22,676.56
2,193.22,96.61
2,530.10,265.05
2,1292.24,646.12
2,489.52,244.76
2,213.74,106.87
2,1288.22,644.11
2,872.96,436.48
2,924.80,462.40
2,446.40,223.20
2,849.20,424.60
2,410.80,205.40
2,1689.60,844.80
2,998.80,499.40
2,1066.00,533.00
2,369.60,184.80
2,575.50,287.75
2,1326.93,663.47
2,1017.13,508.57
2,411.81,205.91
2,1353.11,676.56
1,96.61,96.61
1,265.05,265.05
1,646.12,646.12
1,244.76,244.76
1,106.87,106.87
1,644.11,644.11
1,436.48,436.48
1,462.40,462.40
1,223.20,223.20
1,424.60,424.60
1,205.40,205.40
1,844.80,844.80
1,499.40,499.40
1,533.00,533.00
1,184.80,184.80
3,2199.12,733.04
1,224.72,224.72
1,802.18,802.18
3,2631.38,877.13
1,667.10,667.10
1,575.88,575.88
1,1687.37,1687.37
1,295.78,295.78
1,481.53,481.53
2,747.31,373.66
1,287.01,287.01
1,468.64,468.64
1,1068.98,1068.98
1,522.09,522.09
1,269.35,269.35
1,170.82,170.82
1,1082.32,1082.32
1,148.64,148.64
1,377.04,377.04
2,456.80,228.40
2,1553.45,776.73
3,1271.94,423.98
1,272.34,272.34
3,2422.52,807.51
3,1636.42,545.47
1,348.48,348.48
1,135.15,135.15
1,184.89,184.89
1,234.32,234.32
1,761.67,761.67
2,1975.48,987.74
2,285.35,142.68
1,975.38,975.38
3,2025.73,675.24
1,508.55,508.55
5,2718.55,543.71
1,903.38,903.38
2,2335.29,1167.65
1,653.24,653.24
2,2477.96,1238.98
1,1293.78,1293.78
2,1680.94,840.47
1,475.97,475.97
1,1864.40,1864.40
2,1157.05,578.53
1,1320.74,1320.74
1,1909.83,1909.83
1,66.15,66.15
1,261.39,261.39
1,1132.42,1132.42
2,2502.12,1251.06
2,686.09,343.05
2,644.30,322.15
1,608.75,608.75
1,509.32,509.32
2,1431.16,715.58
2,1872.79,936.40
2,1602.22,801.11
1,109.36,109.36
1,244.11,244.11
1,1308.46,1308.46
1,73.40,73.40
1,783.87,783.87
1,434.50,434.50
2,1286.45,643.23
2,571.66,285.83
1,1411.18,1411.18
1,1028.09,1028.09
1,616.32,616.32
1,349.31,349.31
1,461.54,461.54
3,1976.28,658.76
2,1457.50,728.75
2,1320.42,660.21
1,672.77,672.77
2,2142.27,1071.14
2,3215.81,1607.91
1,86.45,86.45
1,91.08,91.08
1,364.71,364.71
1,825.67,825.67
2,453.41,226.71
1,129.47,129.47
3,2147.39,715.80
1,836.43,836.43
1,131.95,131.95
1,2482.21,2482.21
3,1123.32,374.44
1,57.97,57.97
1,524.04,524.04
2,592.01,296.01
1,490.62,490.62
3,1664.21,554.74
2,289.23,144.62
2,327.41,163.71
1,1410.61,1410.61
1,1509.33,1509.33
2,1035.46,517.73
1,428.34,428.34
1,130.63,130.63
3,2199.12,733.04
1,224.72,224.72
1,802.18,802.18
3,2631.38,877.13
1,667.10,667.10
1,575.88,575.88
1,1687.37,1687.37
1,295.78,295.78
1,481.53,481.53
2,747.31,373.66
1,287.01,287.01
1,468.64,468.64
1,1068.98,1068.98
1,522.09,522.09
1,269.35,269.35
1,170.82,170.82
1,1082.32,1082.32
1,148.64,148.64
1,377.04,377.04
2,456.80,228.40
2,1553.45,776.73
3,1271.94,423.98
1,272.34,272.34
3,2422.52,807.51
3,1636.42,545.47
1,348.48,348.48
1,135.15,135.15
1,184.89,184.89
1,234.32,234.32
1,761.67,761.67
2,1975.48,987.74
2,285.35,142.68
1,975.38,975.38
3,2025.73,675.24
1,508.55,508.55
5,2718.55,543.71
1,903.38,903.38
2,2335.29,1167.65
1,653.24,653.24
2,2477.96,1238.98
1,1293.78,1293.78
2,1680.94,840.47
1,475.97,475.97
1,1864.40,1864.40
2,1157.05,578.53
1,1320.74,1320.74
1,1909.83,1909.83
1,66.15,66.15
1,261.39,261.39
1,1132.42,1132.42
2,2502.12,1251.06
2,686.09,343.05
2,644.30,322.15
1,608.75,608.75
1,509.32,509.32
2,1431.16,715.58
2,1872.79,936.40
2,1602.22,801.11
1,109.36,109.36
1,244.11,244.11
1,1308.46,1308.46
1,73.40,73.40
1,783.87,783.87
1,434.50,434.50
2,1286.45,643.23
2,571.66,285.83
1,1411.18,1411.18
1,1028.09,1028.09
1,616.32,616.32
1,349.31,349.31
1,461.54,461.54
3,1976.28,658.76
2,1457.50,728.75
2,1320.42,660.21
1,672.77,672.77
2,2142.27,1071.14
2,3215.81,1607.91
1,86.45,86.45
1,91.08,91.08
1,364.71,364.71
1,825.67,825.67
2,453.41,226.71
1,129.47,129.47
3,2147.39,715.80
1,836.43,836.43
1,131.95,131.95
1,2482.21,2482.21
3,1123.32,374.44
1,57.97,57.97
1,524.04,524.04
2,592.01,296.01
1,490.62,490.62
3,1664.21,554.74
2,289.23,144.62
2,327.41,163.71
1,1410.61,1410.61
1,1509.33,1509.33
2,1035.46,517.73
1,428.34,428.34
1,130.63,130.63
3,887.93,295.98
1,647.37,647.37
1,249.66,249.66
1,823.07,823.07
1,723.17,723.17
2,1071.17,535.59
3,760.63,253.54
2,373.83,186.92
1,486.12,486.12
2,1680.15,840.08
3,3027.71,1009.24
1,390.41,390.41
1,134.18,134.18
1,684.69,684.69
2,1255.68,627.84
1,1687.37,1687.37
1,781.52,781.52
2,2032.49,1016.25
1,1293.78,1293.78
1,804.75,804.75
1,1238.57,1238.57
2,2336.14,1168.07
2,1060.36,530.18
1,163.83,163.83
2,601.19,300.60
4,1668.71,417.18
2,1322.82,661.41
2,2033.85,1016.93
2,522.28,261.14
1,86.45,86.45
2,1065.22,532.61
5,2570.87,514.17
2,977.58,488.79
1,613.11,613.11
2,672.47,336.24
1,825.67,825.67
2,1472.33,736.17
1,1017.51,1017.51
3,1486.33,495.44
1,546.67,546.67
1,272.34,272.34
4,3103.26,775.82
1,716.47,716.47
1,775.85,775.85
2,2787.67,1393.84
1,1180.76,1180.76
1,295.78,295.78
1,363.46,363.46
1,575.88,575.88
1,66.15,66.15
1,1536.58,1536.58
1,1170.83,1170.83
1,35.80,35.80
1,292.80,292.80
1,509.34,509.34
1,67.12,67.12
1,159.53,159.53
1,758.59,758.59
2,1899.90,949.95
1,91.08,91.08
2,1158.26,579.13
2,1237.19,618.60
1,617.21,617.21
1,686.90,686.90
1,377.77,377.77
1,34.61,34.61
1,170.82,170.82
1,261.39,261.39
2,1340.02,670.01
1,588.42,588.42
2,1251.86,625.93
1,426.84,426.84
2,775.53,387.77
2,819.55,409.78
1,121.63,121.63
1,461.54,461.54
1,423.52,423.52
2,820.18,410.09
2,1248.38,624.19
2,530.27,265.14
3,2698.10,899.37
1,275.68,275.68
1,1087.77,1087.77
1,590.88,590.88
1,229.60,229.60
1,585.29,585.29
2,1601.79,800.90
2,2430.68,1215.34
2,937.59,468.80
1,283.43,283.43
1,49.55,49.55
1,2482.21,2482.21
1,210.22,210.22
3,2381.24,793.75
2,2450.40,1225.20
2,3355.25,1677.63
1,1864.40,1864.40
3,887.93,295.98
1,647.37,647.37
1,249.66,249.66
1,823.07,823.07
1,723.17,723.17
2,1071.17,535.59
3,760.63,253.54
2,373.83,186.92
1,486.12,486.12
2,1680.15,840.08
3,3027.71,1009.24
1,390.41,390.41
1,134.18,134.18
1,684.69,684.69
2,1255.68,627.84
1,1687.37,1687.37
1,781.52,781.52
2,2032.49,1016.25
1,1293.78,1293.78
1,804.75,804.75
1,1238.57,1238.57
2,2336.14,1168.07
2,1060.36,530.18
1,163.83,163.83
2,601.19,300.60
4,1668.71,417.18
2,1322.82,661.41
2,2033.85,1016.93
2,522.28,261.14
1,86.45,86.45
2,1065.22,532.61
5,2570.87,514.17
2,977.58,488.79
1,613.11,613.11
2,672.47,336.24
1,825.67,825.67
2,1472.33,736.17
1,1017.51,1017.51
3,1486.33,495.44
1,546.67,546.67
1,272.34,272.34
4,3103.26,775.82
1,716.47,716.47
1,775.85,775.85
2,2787.67,1393.84
1,1180.76,1180.76
1,295.78,295.78
1,363.46,363.46
1,575.88,575.88
1,66.15,66.15
1,1536.58,1536.58
1,1170.83,1170.83
1,35.80,35.80
1,292.80,292.80
1,509.34,509.34
1,67.12,67.12
1,159.53,159.53
1,758.59,758.59
2,1899.90,949.95
1,91.08,91.08
2,1158.26,579.13
2,1237.19,618.60
1,617.21,617.21
1,686.90,686.90
1,377.77,377.77
1,34.61,34.61
1,170.82,170.82
1,261.39,261.39
2,1340.02,670.01
1,588.42,588.42
2,1251.86,625.93
1,426.84,426.84
2,775.53,387.77
2,819.55,409.78
1,121.63,121.63
1,461.54,461.54
1,423.52,423.52
2,820.18,410.09
2,1248.38,624.19
2,530.27,265.14
3,2698.10,899.37
1,275.68,275.68
1,1087.77,1087.77
1,590.88,590.88
1,229.60,229.60
1,585.29,585.29
2,1601.79,800.90
2,2430.68,1215.34
2,937.59,468.80
1,283.43,283.43
1,49.55,49.55
1,2482.21,2482.21
1,210.22,210.22
3,2381.24,793.75
2,2450.40,1225.20
2,3355.25,1677.63
1,1864.40,1864.40
1,146.29,146.29
1,340.76,340.76
1,444.05,444.05
1,407.42,407.42
1,654.88,654.88
1,528.22,528.22
1,268.07,268.07
1,421.10,421.10
1,821.44,821.44
1,782.06,782.06
1,835.49,835.49
1,834.61,834.61
1,488.74,488.74
1,409.40,409.40
1,344.64,344.64
1,355.17,355.17
1,284.56,284.56
1,421.33,421.33
1,909.39,909.39
1,936.24,936.24
