X1_NR_COMENZI_ANGRO,X2_VALOARE_TOTALA_ANGRO_MDL,Y_VALOARE_MEDIE_COMANDA_ANGRO_MDL
2,6317.27,3158.64
2,11020.50,5510.25
1,1998.70,1998.70
1,3630.90,3630.90
1,2745.90,2745.90
1,2164.10,2164.10
1,2517.79,2517.79
1,2718.39,2718.39
1,6288.20,6288.20
1,2932.93,2932.93
2,25462.50,12731.25
1,25350.91,25350.91
1,15588.26,15588.26
1,17452.03,17452.03
1,8285.84,8285.84
1,7929.09,7929.09
2,30369.11,15184.56
1,21263.63,21263.63
1,14982.82,14982.82
1,26170.61,26170.61
1,12316.56,12316.56
1,16355.76,16355.76
2,23905.69,11952.85
1,4650.17,4650.17
3,46882.20,15627.40
1,12941.93,12941.93
3,51874.67,17291.56
2,29119.36,14559.68
1,21813.01,21813.01
1,8726.97,8726.97
2,18801.30,9400.65
1,10107.67,10107.67
2,34573.29,17286.65
1,5992.75,5992.75
1,22336.59,22336.59
3,31589.32,10529.77
1,10427.67,10427.67
1,21893.37,21893.37
2,77699.27,38849.64
1,11019.50,11019.50
2,25669.49,12834.75
2,26684.94,13342.47
1,13722.59,13722.59
2,12931.94,6465.97
1,43384.17,43384.17
2,21153.66,10576.83
1,16832.41,16832.41
2,27661.99,13831.00
3,42707.30,14235.77
1,19306.61,19306.61
1,3025.32,3025.32
1,6321.08,6321.08
1,5894.77,5894.77
1,8641.72,8641.72
1,9438.31,9438.31
1,4338.11,4338.11
1,4405.25,4405.25
1,3062.72,3062.72
1,6319.44,6319.44
1,5847.75,5847.75
1,2154.60,2154.60
1,4472.40,4472.40
1,5867.26,5867.26
1,3981.55,3981.55
1,3251.24,3251.24
1,3080.84,3080.84
1,3924.37,3924.37
1,5327.25,5327.25
1,4269.74,4269.74
1,7956.87,7956.87
1,4113.76,4113.76
1,6816.61,6816.61
1,8313.50,8313.50
1,9801.16,9801.16
1,6544.90,6544.90
1,2880.71,2880.71
1,6155.33,6155.33
1,6042.17,6042.17
1,4553.66,4553.66
1,6004.14,6004.14
